tweet,clean,topic
African Swine Fever × COVID-19 × Bird Flu This is devastating.,african swine fever bird devastating,3
"Binay: I will still continue with my 14-day quarantine. Hindi pa po tapos ang laban natin kontra sa COVID-19, and we don’t want to have a false sense of security",binay still continue quarantine tapos natin kontra dont false sense security,3
"Hindi pa nag papapasok so LRT, 6AM pa daw ang operation. Bakit ganun! Lalong maiipon mga tao nyan. Ok na nga ung dating schedule eh!!! Yan ba ang solusyon nyo para makaiwas sa COVID-19! EH LALONG DUMAMI ANG TAO! ",papapasok operation ganun lalong maiipon nyan dating schedule solusyon makaiwas lalong dumami,3
Reduce your risk of corona virus. No to Covid-19 #safetyfirst Open for #FRANCHISE #LowFranchiseFee 09151060888 09955770628 #MarianRivera #NAILANDIA #nailspafranchise #nailspa #nails #spa #business #businessopportunity #Covid_19,reduce risk corona open,3
"(1) How to avoid COVID and stay healthy? Andyan ang pagsusuot ng mask, hand washing, proper hygiene and social distancing. Pero bukod dun, dapat din natin iBOOST ang ating immune system by eating healthy foods and taking vitamins such as these. ",avoid healthy andyan pagsusuot hand washing proper hygiene social distancing bukod natin iboost eating healthy foods taking vitamins,3
yung pasyente kong mas takot pa sa covid kesa sa sakit nya na pots disease. ,pasyente takot kesa sakit pots disease,3
"Based on the speculations ng mga chismosa naming kapitbahay. He was PUI. Yes, having coronavirus. As in, yung lockdown yung area namin plus we are all required to close doors and social distancing",based speculations chismosa naming kapitbahay lockdown area plus required close doors social distancing,3
social distancing na ang daming sumusingit !!!! #CoronaCrisis #Covid_19 #CoronaStopKaroNa #Super8,social distancing daming sumusingit,3
"We’ve survived the week! Just 25 days more before the enhanced community quarantine is lifted and hopefully, we are all free from the nightmare that is Covid-19. Meantime, we need to practice proper hygiene. Alcohol… https://www.instagram.com/p/B99ARBdHaur/?igshid=ua6dgera9abq",weve survived week days enhanced community quarantine lifted hopefully free nightmare meantime need practice proper hygiene,3
Covid yung spinal chord ko ang sakit sakit na kakahilata dahil sa quarantine pls lang,spinal chord sakit sakit kakahilata quarantine,3
DOH clarifies COVID-19 not airborne virus. #StaySafe,clarifies airborne,3
"What’s scarier than covid-19? The powerful people ""taking care"" of us.",whats scarier powerful people taking,3
This COVID-19 pandemic and the ongoing enhanced community quarantine is teaching us a valuable lesson...the virus brings a healing experience to us in the process of reckoning. #covid_19 #healing #wecandothis… https://www.instagram.com/p/B901OeMhVi9/?igshid=gxkqjz9kuxm7,pandemic ongoing enhanced community quarantine teaching valuable lesson brings healing experience process reckoning,3
Our Senator who practiced social distancing/sanitary precautions still got the COVID-19 virus. I understand the need to work for most but there won’t be much work to do at all if this becomes a full-blown pandemic. Even staying at home for a week will have a compound impact. ,senator practiced social distancing sanitary precautions still understand need work wont much work becomes full blown pandemic even staying home week compound impact,3
Tingin ko mabenta hand cream after this Covid szn kakahugas at kaka alcohol ng kamay dry na hands natin,tingin mabenta hand cream kakahugas kamay natin,3
For those who want to visit their family in the provinces. Make sure your immune system is really boosted too ^.^ Stay healthy everyone ฅ’ω’ฅ #Covid_19PH,visit family provinces make sure really boosted healthy everyone,3
"When you need to be in crowded places, wear eye protection. It will not only lessen the risk of covid-19, it will also make you look cool on a lighter note. WE CAN DO THIS! BOSS Vs. Loko loko mong kaofficemate. Hahhaha. ",need crowded places wear protection lessen risk make look cool lighter note boss loko loko mong kaofficemate hahhaha,3
Feeling #vogue mukha namang binugvogue hahaha The effect of community quarantine #feelingaesthetic #sabahaylang #CoronaOutbreak #coronavirus ,feeling mukha namang binugvogue effect community quarantine,3
Alcohol on the go! Pili na hahaha Talinong Pinoy. Edit Pinoy #Covid_19PH – at Burger Matsing Bagong Silang Phase 7B,pili talinong pinoy edit pinoy burger matsing bagong silang phase,3
Correct. Actually hindi ako takot mag covid 19 kaso mga kids ko bata so mas mahina immune system nila. As much as stay at home talaga.,correct actually takot kaso kids bata mahina much home,3
"Other countries with COVID-19: stay at home, wash your hands, eat well, take your vitamins, please dont panic The philippines with COVID-19: BREAK OUT THE POLICE AND MILITARY BOIS, ITS TIME TO WRANGLE OURSELVES A VIRUS",countries home wash well vitamins please dont philippines break police military bois time wrangle,3
"Yari ako Kay CoVid-19 .., Mahina Immune system ko Hays ",yari mahina hays,3
"People need to see this. From Abdu Sharkaway, an Ontario Disease Specialist. #Covid_19",people need abdu sharkaway ontario disease specialist,3
Ubos ang mga Alcohol dito sa Grocery pero ang estante ng mga toothpaste at toothbrush halos di nagalaw :( #Covid_19,ubos grocery estante toothpaste toothbrush halos nagalaw,3
"Went to the grocery today to buy kitchen towel&yakult. Surprisingly,veggies&fruits ok pa stock,obviously alcohol wala na!may namimilit pa nga beyond 2 buy knina.Mga besh,momshies,KAHIT 1 BOX NG ALCOHOL LAKLAKIN MO,if MABABA RESISTENSYA MO, COVID-19 will welcome u w/open arms! ",went grocery today kitchen towel yakult surprisingly veggies fruits stock obviously namimilit beyond knina besh momshies laklakin mababa resistensya welcome open arms,3
"May napansin lang ako simula nung pumutok yung issue ng covid 19, wala ng asyadong langgam na pula. Seryoso talaga!",napansin simula pumutok issue asyadong langgam seryoso,3
"PAKYU ka COVID-19 Please wear mask Always spray alcohol Kill virus You need to be careful Utilize alcohol @Antipolo, Rizal https://www.instagram.com/p/B9qQdZNjuwC/?igshid=ew4ufxu8xw6o",pakyu please wear always spray kill need careful utilize rizal,3
"""Don’t kill yourself with worry"" ""Make Yourself Healthy, Drink Vitamins"" -President Duterte #Covid_19 #COVID19 #COVIDー19 #covidphilippines",dont kill worry make healthy drink vitamins president duterte,3
Mas madami talaga madadali ng ncov pag ganto. Pano wala ng mabili ang tao sa market para ipagtangol ung sarili nila laban sa virus. Pinakyaw na ng mga gago. Ilang box ng alcohol yan binili mo 4 eh tatlo lang kayo sa inyo. Ano yan pan liligo mo? tapos malalaman ko ibebenta mo,madami madadali ganto mabili market ipagtangol pinakyaw ilang binili inyo liligo tapos malalaman ibebenta,3
"Kung ako lang ha, wag na tayo masyado mag cause ng panic. Alam naman natin na meron Covid All we need is to take proper precautions. Wash hands often and drink Vitamin C.",cause alam natin meron need proper precautions wash often drink vitamin,3
Napaka-init today! I hope this weather helps reduce the spread of covid-19. ,init today hope weather helps reduce spread,3
"Very alarming na talaga yung COVID. Imagine, even your dog/cat could be a possible carrier.",alarming imagine even could possible carrier,3
"Panic can’t cure Covid-19. Boost your immune system. Proper Hygiene, Hydrate... ",cant cure boost proper hygiene hydrate,3
No kiss No Holding Hands dahil sa. NCOV Me: Di ko napigilan ,kiss holding napigilan,3
Stop telling me not to touch my face. I am gay and I am oily. I will not look chaka just because our government is into some ROC xtravaganza realness and gagging the actual local nCov eleganza tea.,stop telling touch oily look chaka government xtravaganza realness gagging actual local eleganza,3
There’s already been TWO reports of covid-19 cases from people who just recently came back to their home countries from the Philippines (Australia and Taiwan). Wtf is our government doing to address this issue. We’re literally gonna be walking dead in no time.,theres already reports cases people recently came back home countries philippines australia taiwan government address issue literally walking dead time,3
"DOH clarifies that COVID-19 is transmitted through droplets, contrary to reports that the disease is airborne",clarifies transmitted droplets contrary reports disease airborne,3
Airborne pala ang nCov ,airborne pala,3
masks are still unavailable and nCov is actually airborne... omfg... it seems that 2020 would be the end of my life hahuhuhuhu,masks still unavailable actually airborne omfg seems would life hahuhuhuhu,3
"Please don’t compare #coronavirus #nCoV2019 to HIV. You are likely compairing oranges and apples. They are two different things. You cannot conclude that oranges are apples, or even apples are oranges. gets?",please dont compare likely compairing oranges apples different things conclude oranges apples even apples oranges gets,3
How to protect yourself from NCov: 1. Wash/Discinfect your hands properly. 2. Wear face masks in crowded place. 3. Vote Wisely next election. #ncovph #coronavirusPH #CoronavirusOutbreak #ncovph #nCoV #nCoV2019 #coronavirus,protect wash discinfect properly wear masks crowded place vote wisely next election,3
How to counter nCov-2019 1. Wash your hands thoroughly 2. Drown the government with Alcohol 70% Solution to cleanse their stupidity. 3. VOTE WISELY NEXT ELECTION #CoronavirusOutbreak #coronavirusPH #coronavirus,counter wash thoroughly drown government solution cleanse stupidity vote wisely next election,3
Healthy and active lifestyle will save you not the mask... #coronavirus #healthylifestyle #healthyactivelifestyle,healthy active lifestyle save,3
How to protect yourself from NCoV 1. Wash / disinfect your hands properly 2. Wear face masks in a crowded place 3. VOTE WISELY next election #KeepSafe #LabanPinas,protect wash disinfect properly wear masks crowded place vote wisely next election,3
Take the necessary precautions to protect yourselves from #nCoV 1. Stay away from crowded places. 2. Use face mask. 3. Take Vit. C regularly. 4. Eat a balanced diet. 5. Have enough sleep. 6. Make sure to always wash your hands. 7. Bring hand sanitizer or alcohol. 8.Keep hydrated.,necessary precautions protect away crowded places regularly balanced diet enough sleep make sure always wash bring hand sanitizer keep hydrated,3
Is it bcz of da wuhan market or planned bio-weapon ??? #CoronavirusOutbreak #coronavirus #ncov #WuhanCoronovirus,wuhan market planned weapon,3
HK Disneyland and Ocean Park were both closed until further notice. This NCov issue is such a messsssss! ,disneyland ocean park closed notice issue messsssss,3
"We are not sure of this not so visible enemy, the Coronavirus. What we can do at the moment is strengthen our immune system. Eat healthy foods and take vitamin supplements. Since it is a virus, the following herbs may help. ",sure visible enemy moment strengthen healthy foods vitamin supplements since following herbs help,3
"Ebarg, selfie muna bago mag ka ncov. :&lt; ",ebarg selfie muna,4
Selfie muna before the “Manila Lockdown” announcement. #COVID – at SM Light Residences,selfie muna manila lockdown announcement light residences,4
In light of nCov and as precautionary measure there’s a temp check pt for everyone entering Light. The 3rd flr mall elev connecting to Light has a no entry/exit sign too. Mejo hassle but go push for everyone’s safety.,light precautionary measure theres temp check everyone entering light mall elev connecting light entry exit sign mejo hassle push everyones safety,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL. ,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL pass this message,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol pass message,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL pass this message sa lahat ng mahal nio sa buhay. God bless everyone Staf safe ah ,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol pass message mahal buhay bless everyone staf safe,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL pass this message,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol pass message,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol,4
Mag JAKOL para makaiwas sa COVID 19 J- ust stay at home A- lways sanitize your hands K- eep your hands clean O- n time maligo L- umayo sa matataong lugar Ligtas ang laging nag ja-JAKOL,jakol makaiwas home lways sanitize clean time maligo umayo matataong lugar ligtas laging jakol,4
"Remember: NO ONE WANTS TO GET SICK. Whether it’s nCov or HIV, no one wants to fall ill. No one wants to infect other people (except those with criminal minds). Everyone wants to get better. And the only way to get better is to get access to health services.",remember wants sick whether wants fall wants infect people except criminal minds everyone wants better better access health services,4
Hi guyszx reminder lang na ugaliing maligo dahil proper hygiene ang isa sa pinaka mabisang panlaban sa nCoV ,guyszx reminder ugaliing maligo proper hygiene pinaka mabisang panlaban,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Kaya JAKOL NA,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar jakol,4
So ayon sa chika merong may NCOV sa kabilang building namin sa work! We share the same smoking area pa naman!,ayon chika merong kabilang building work share smoking area,4
Sorry po but UNICEF never released the ones spreading in socmed as clarified by UNICEF PH. Always refer to WHO or CDC for info about Covid po.,sorry unicef never released ones spreading socmed clarified unicef always refer info,4
"Via @DOHgovph Ang mga matatanda, buntis, at may medikal na kondisyon ay kailangan umiwas sa matataong lugar at malawakang pagtitipon upang makaiwas sa COVID-19. #TaongBahay #TaongBayani",matatanda buntis medikal kondisyon umiwas matataong lugar malawakang pagtitipon upang makaiwas,4
"Sinuspended para makaiwas sa COVID-19, ndi para gumala HAHAHakdog",sinuspended makaiwas gumala hahahakdog,4
"Di pinapasok para makaiwas sa covid 19, tas nakasalubong kami ni mam na nag gagala dito sa gupiing ",pinapasok makaiwas nakasalubong gagala gupiing,4
"Kung kailangan pinaka-kailangan ang tubig para makaiwas sa COVID, tsaka naman walang tubig. Keep uo naman tayo @maynilad.",pinaka tubig makaiwas tsaka tubig keep,4
Araw araw na nga ako mag-jajak*l para makaiwas CoVid.,araw araw jajak makaiwas,4
Here are 10 Steps to prevent the spread of coronavirus and keep yourself and your loved ones safe: https://m.facebook.com/story.php?story_fbid=3113157785419166&amp;id=723039071097728,steps prevent spread keep loved ones safe,4
Ngayon alam ko na bat naghoard ng tissue nung iannounce ang community quarantine. Kaw ba naman 1 month di lalabas at laging nasa room. Mangangailangan ka talaga ng tissue. #covid_19PH,alam naghoard tissue iannounce community quarantine month lalabas laging nasa room mangangailangan tissue,4
Nakakatakot naa ang COVID 19. Airborne na siya. May safe pa bang lugar? #COVID2019,nakakatakot airborne safe bang lugar,4
Kainin nyo tong banana dito oh sakto bagong gising ako iwas ncov,kainin banana sakto bagong gising iwas,4
Everyone on NCoV : Panic buying. Xander Ford on NCoV : Pangit buying. Hahahahahaha!! ,everyone buying xander ford pangit buying,4
"Lest we forget, Duterte took more lives (with Tokhang) in the PH than COVID-19 worldwide. He is the nastier virus. It’s time we flush him out. #OustDuterte",lest forget duterte took lives tokhang worldwide nastier time flush,4
Social distancing muna tau.. Stay safe everyone! (Bagong gising lang talaga ako. Mejo nangarag sa mga nabasang updates re COVID-19. Napaisip ng maraming bagay. At unti unti na palang napapanic mode na naman… https://www.instagram.com/p/B9u6o7OJwfb/?igshid=a86oqh50xnrk,social distancing muna safe everyone bagong gising mejo nangarag nabasang updates napaisip maraming bagay unti unti palang napapanic mode,4
Kaya alam nyo na guys. JAKOL is life #Covid_19 #nCoV2019,alam guys jakol life,4
Mag FINGER para makaiwas sa COVID 19 F- Fight corona virus I- Iboost ang immune system N- Nyaging maligo G- Gago si kikay @crisslejsmn_ E- Engot din sya R- Raulo pa Ligtas ang laging nagfi-FINGER pass this message patayin si crissle,finger makaiwas fight corona iboost nyaging maligo kikay raulo ligtas laging nagfi finger pass message patayin crissle,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL pass this message,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol pass message,4
Sinabihan ako ni @StaecyrilMadrid na mag-jakol na lang daw para iwas COVID-19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL,sinabihan jakol iwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol,4
JAKOL to fight NCOV J - just stay home when you’re sick. Self quarantine! A - always drink your vitamins K - keep hydrated O - observe proper hygiene by washing your hands and taking a bath daily L - limit risk of exposure by social distancing #CoronaAlert #nCoV #COVID19,jakol fight home youre sick self quarantine always drink vitamins keep hydrated observe proper hygiene washing taking bath daily limit risk exposure social distancing,4
Mag JAKOL para makaiwas sa COVID 19 J- Just stay at home A- Always sanitize your hands K- Keep your hands clean O- On time maligo L- Lumayo sa matataong lugar Ligtas ang laging nag ja-JAKOL ,jakol makaiwas home always sanitize keep clean time maligo lumayo matataong lugar ligtas laging jakol,4
"As usual, no covid can stop me from shopping hehe",usual stop shopping hehe,4
NCOV LANG YAN MAGLALARO PARIN AKO! ,maglalaro parin,4
Sorry kayo yung head namin nag-aaya mag-vodka to fight COVID-19. SANA ALL BA? HAHAHAHAHAHAHAHA,sorry head aaya vodka fight,4
"During month of January and February. Pinoys be like: ""Naku may cases na tau ng COVID-19 kino-cover up lag yan ng DOH"" Month of March and counting: DOH Update ""35 confirmed COVID-19 in the Philippines"". Pinoys be like, *speechless*, *shocked*, *scared*, *panic*",month january february pinoys like naku cases kino cover month march counting update confirmed philippines pinoys like speechless shocked scared,4
Remember these rules - #Precaution and #Prevention are the best weapons to fight against the Coronavirus. - Prepare your PPE - N95 / Surgical Mask - Wash your hands with soap and water - Keep your immune system up to date - with the right supplements,remember rules best weapons fight prepare surgical wash soap water keep date right supplements,4
"Japan has more than 500 confirmed cases of COVID-19 yet they are just chill AF. Why? Because they have 1 of the best healthcare in the world and they have proper hygiene. Don’t scare yourselves, ppl. The least you can do is to stay clean as much as possible.",japan confirmed cases chill best healthcare world proper hygiene dont scare least clean much possible,4
How to fight ncov Wash your habds frequent Eat right Exercise more Sleep enough Sanitize regularly Take multivitamins,fight wash habds frequent right exercise sleep enough sanitize regularly multivitamins,4
"COVID 19 Teusday Advice. Now that the cases have gone up to 10 and rising in Philippines, please take this free medical advice. Wash hands always, and use alcohol sprays when possible. stop shaking people and most importantly STOP KISSING,",teusday advice cases gone rising philippines please free medical advice wash always sprays possible stop shaking people importantly stop kissing,4
how to prevent covid? keep it squeaky clean ,prevent keep squeaky clean,4
"may ncov na sa quezon city, stay safe guys!! wear mask and drink water and vitamins huhu ",quezon city safe guys wear drink water vitamins,4
Isa pang nakakatakot sa covid eh yung ma quarantine ka ng ilang araw. Tigil trabaho. Shet. Bawat araw sakin mahalaga. *drinks water*,nakakatakot quarantine ilang araw tigil trabaho shet araw sakin mahalaga drinks water,4
Nakakatakot naman yung NcOV pero mas natatakot ako kapag nagsara store namin sayang ang sahoood ,nakakatakot natatakot nagsara store sayang sahoood,4
Walay lingaw! Have a great weekend mga ka hotdog! #beautychallenge #fypchallenge #fypage #fyp Mag tiktok na lang iwas covid-19 ,walay lingaw great weekend hotdog tiktok iwas,4
"Yun nga e, taka ako alcohol na nga gamit nmin na lube pra iwas nCoV",gamit nmin lube iwas,4
"NCOV is a virus, Virus is airborne therefore NCOV is airborne. Stay your hygiene clean everyone. ",airborne therefore airborne hygiene clean everyone,4
"Keep safe everyone! If you wish to wear a face mask on public spaces due to the 2019 novel corona virus (nCoV), wear your masks properly with the colored portion outside and the white portion inside as seen on the screengrabs from Voltes V’s episode 33. ",keep safe everyone wish wear public spaces novel corona wear masks properly colored portion outside white portion inside seen screengrabs voltes episode,4
Pros and cons of using different masks! Know your mask and stay safe always 2019-nCov ARD ,pros cons using different masks know safe always,4
It will spread faster beacuse it’s a virus. You’re thinking too much. Chinese got sick because they don’t have proper hygiene. Pinoys? The most OAs in hygiene. The chances of you getting sick of nCoV is remote. Baka sa ibang way pa ma-hospital ang Pinoy.,spread faster beacuse youre thinking much sick dont proper hygiene pinoys hygiene chances getting sick remote baka ibang hospital pinoy,4
Kilay lang sapat na! Seems like I will have to keep my lippies inside their storage container for awhile. No makeup look muna habang nagkakalat ng lagim si Ncov. Salamat sa ortho ni Bella sa face masks!… https://www.instagram.com/p/B79qsXlB9rD/?igshid=15hsrgrwbn058,kilay sapat seems like keep lippies inside storage container awhile makeup look muna nagkakalat lagim salamat ortho bella masks,4
"Work Essentials in this time of Corona scare: Vitamin C for Immune boost Alcohol to sanitize Water to hydrate Mask #safetyfirst #safety #coronavirus @Makati , Manila https://www.instagram.com/p/B79nsMrBArw/?igshid=rk50y3ntzvrs",work essentials time corona scare vitamin boost sanitize water hydrate manila,4
"Boost your immune system today. Proper hygiene, eat healthy, exercise and take your vitamins. Keep safe everyone! #CoronavirusOutbreak #nCoV",boost today proper hygiene healthy exercise vitamins keep safe everyone,4
"1 confirmed case na ng ncov jusko. Let’s all take care of our health. Eat fruits, veggies, wear masks, drink vitamins and do not expose yourself outside too much.",confirmed case jusko lets health fruits veggies wear masks drink vitamins expose outside much,4
"What protocols do you have at home to prevent nCov? So far, we have alcohol stations inside and outside. Everyone uses masks when going out and leaves it in a trash can outside. We take vitamins. We diffuse essential oils. What else do we need? #paranoidmomma",protocols home prevent stations inside outside everyone uses masks going leaves trash outside vitamins diffuse essential oils else need,4
"PSA to Sayanistas: ATC is currently being used as a quarantine facility for 11 Chinese tourists being monitored for NCov. I don’t want to cause panic but the risk is very high. Please wear face masks. At most, I hope you collectively gather and demand action regarding this. ",sayanistas currently used quarantine facility tourists monitored dont cause risk high please wear masks hope collectively gather demand action regarding,4
OMG I’M CURRENTLY AT CHINESE GENERAL HOSPITAL HERE SA MANILA AND MY TITA TOLD ME NA DON’T ENTER THE FACILITY UNLESS I HAVE MY FACE MASK COS MAY POSSIBLE CORONAVIRUS CARRIER INSIDE BE SAFE!! ALWAYS HAVE UR SANITIZERS AND FACE MASKS!!,currently general hospital manila tita told dont enter facility unless possible carrier inside safe always sanitizers masks,4
"drink lots of water + take your vitamins, errone! also please do always always observe proper hygiene (bring your sanitizers/alcohol w you!!!) prayers up!!!!!!! we will be safe! ctto #coronavirus ",drink lots water vitamins errone please always always observe proper hygiene bring sanitizers prayers safe ctto,4
Andaming Chinese sa MOA sksksk baka may carrier na jan ng coronavirus ha? Huhu,andaming sksksk baka carrier,4
"With all the Coronavirus madness I have a pack of antibacterial wipes, 2 hand sanitizers and an alcohol inside my bag",madness pack antibacterial wipes hand sanitizers inside,4
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,less lethal sars contagious infectious first death outside china year male suddenly died without public alerted even young must competent missing something,5
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,less lethal sars contagious infectious first death outside china year male suddenly died without public alerted even young must competent missing something,5
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,less lethal sars contagious infectious first death outside china year male suddenly died without public alerted even young must competent missing something,5
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,less lethal sars contagious infectious first death outside china year male suddenly died without public alerted even young must competent missing something,5
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,less lethal sars contagious infectious first death outside china year male suddenly died without public alerted even young must competent missing something,5
NCov Is less lethal than SARS but more contagious and infectious. The first death outside of China is a 44 year old male who suddenly died without the public being alerted on day one or even at ICU. Being young he must have been immune competent. Are we missing something?,less lethal sars contagious infectious first death outside china year male suddenly died without public alerted even young must competent missing something,5
You can fight me but the government doesn’t seem to care. If anything worst happens to us. You should be charged for treason. #nCoV,fight government doesnt seem anything worst happens charged treason,5
I just don’t underetand why people are more afraid of the nCOV than measles which has a higher mortality rate ,dont underetand people afraid measles higher mortality rate,5
Nakakabahala yung covid hays ingat ..,nakakabahala hays,5
"habang binabalot kami ng takot dito biglang kumana si jheylliane ‘hala product of china tong kinakain ko baka may covid to’ then sumagot si papa ‘nakita mo nang product of china,kinain mo pa’ ",binabalot takot biglang kumana jheylliane hala product china kinakain baka sumagot papa product china kinain,5
What if kaya lang nagmukhang mas marami ang covid-related death sa italy eh kasi itinago ng China yung totoong figures nila?,nagmukhang related death italy kasi itinago china totoong figures,5
"Russia deploying coronavirus disinformation to sow panic in West,... ",russia deploying disinformation west,5
"Nagkaka ubusan na ng mask, Kaya bra mask na lang ang ginamit ko #mask #bra #covid_19 #bramask @Concentrix Megamall https://www.instagram.com/p/B96LTgwnjwA/?igshid=m1wip85xigkn",nagkaka ubusan ginamit megamall,5
"Kumbaga, yung death mo parang jigsaw puzzle. 99% nun yung mismong sakit mo. Tapos yung last piece ng puzzle yung COVID-19. Yung virus yung missing piece ng puzzle sa death mo.",kumbaga death parang jigsaw puzzle mismong sakit tapos last piece puzzle missing piece puzzle death,5
"with death comes new life, hence COVID BRYANT.... LOL, 2020 in 2 words ",death comes life hence bryant words,5
About last night... Alcohol... How we fight Covid 19 @Multinational Village https://www.instagram.com/p/B9yShvpBfv8c4kbwgtgAbPBaKzNYaLtUIeCwxg0/?igshid=1urj2xvtdu48y,last night fight village,5
sana umulan ng isopropyl alcohol para mawakasan tong coronavirus,umulan isopropyl mawakasan,5
Y’all try to browse on Linkedin so you may know what’s happening in China. Ncov can be cured! The site is indeed informative.,yall browse linkedin know whats happening china cured site indeed informative,5
The death of Ironman went in vain. Thanos still able to snap his fingers causing the NCOV. If only there was an alternate world. ,death ironman went vain thanos still able snap fingers causing alternate world,5
Re-tweeting this post because it is very timely lol. Ashfall Earthquakes Covid 19 Capitalism will be the death of many Filipinos. ,tweeting post timely ashfall earthquakes capitalism death many filipinos,5
"Overheard sa Carinderia: Ateng tindera: "" Pag may Alcohol ka sa katawan, di ka tatamaan ng nCoV."" Si kuyang customer: ""Oo, alcohol yung tatama sayo. Haha""",overheard carinderia ateng tindera katawan tatamaan kuyang customer tatama sayo,5
Life starting Monday. Crash Landing in MM be like. #lockdown #MetroManilaLockdown #COVID2019 #coronavirus ,life starting monday crash landing like,5
"Kung totoong sa bat nga galing ang COVID-19, kasalanan ng mga taga Mainland China na kumain ng bat ito!!!",totoong galing kasalanan taga mainland china kumain,5
People nowadays be like: For sale: Alcohol. Pm for price Can be swapped with 2-bedroom condo. Rush. #coronavirus #COVID2019,people nowadays like price swapped bedroom condo rush,5
kanina kakaen kme sa mang inasal ni bryan tapos magkakamay sha ako mag spoon & fork tas hinugasan ko yung dalawa tapos sbe nya mamaya may ncov gumamit nyan sbe ko lagyan ko ng alcohol whahahahahahhahhhaaha,kanina kakaen mang inasal bryan tapos magkakamay spoon fork hinugasan tapos mamaya gumamit nyan lagyan whahahahahahhahhhaaha,5
HINDI BA NAMAMATAY ANG NCOV SA INET NG BANSA,namamatay inet bansa,5
